"","","mpn","name","status","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange"
"FALSE","44","ESP32-S3-WROOM-1-N16R2","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","16, Quad","512","384","2, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","45","ESP32-S3-WROOM-1-H4","ESP32-S3-WROOM-1_High Temp Version","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","36","4, Quad","512","384","0, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","46","ESP32-S3-MINI-1-N8","ESP32-S3-MINI-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","39","8, Quad","512","384","0, Quad","240","15.4*20.5*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","47","ESP32-S3-MINI-1-N4R2","ESP32-S3-MINI-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","39","4, Quad","512","384","2, Quad","237","15.4*20.5*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","48","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","13.2*16.6*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","49","ESP32-C3-MINI-1-N4X","ESP32-C3-MINI-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","13.2*16.6*2.4","650","3250","NO","v1.x","3.0 ~ 3.6"
"FALSE","50","ESP32-C3-MINI-1-H4","ESP32-C3-MINI-1_High Temp Version","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","15","4, Quad","400","384","0, Quad","160","13.2*16.6*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","51","ESP32-C3-MINI-1U-N4","ESP32-C3-MINI-1U","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","13.2*12.5*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","52","ESP32-C3-MINI-1U-N4X","ESP32-C3-MINI-1U","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","13.2*12.5*2.4","650","3250","NO","v1.x","3.0 ~ 3.6"
"FALSE","53","ESP32-C3-MINI-1U-H4","ESP32-C3-MINI-1U_High Temp Version","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","15","4, Quad","400","384","0, Quad","160","13.2*12.5*2.4","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","54","ESP32-C3-MINI-1U-H4X","ESP32-C3-MINI-1U","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","15","4, Quad","400","384","0, Quad","160","13.2*12.5*2.4","650","3250","NO","v1.x","3.0 ~ 3.6"
"FALSE","55","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","18*20*3.2","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","56","ESP32-C3-WROOM-02-H4","ESP32-C3-WROOM-02_High Temp Version","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","15","4, Quad","400","384","0, Quad","160","18*20*3.2","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","57","ESP32-C3-WROOM-02U-N4","ESP32-C3-WROOM-02U","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","15","4, Quad","400","384","0, Quad","160","18*14.3*3.2","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","58","ESP32-C3-WROOM-02U-H4","ESP32-C3-WROOM-02U_High Temp Version","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 105","15","4, Quad","400","384","0, Quad","160","18*14.3*3.2","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","59","ESP32-S2-MINI-1-N4","ESP32-S2-MINI-1","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","0, Quad","240","15.4*20*2.4","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","60","ESP32-S2-MINI-1-H4","ESP32-S2-MINI-1_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","37","4, Quad","320","128","0, Quad","240","15.4*20*2.4","650","3250","NO","-","3.0 ~ 3.6"
